EGYPT CDS USD SR Index,,,,,,,,,
W,2/24/10,191.2,191.4,211.6,233.7,251.7,262.5,269.8,276.2
T,2/23/10,193.1,193.3,213.7,235.9,254.1,265,272.4,278.9
M,2/22/10,193.1,193.3,213.7,235.9,254.1,265,272.4,278.9
,,,,,,,,,
F,2/19/10,207.5,207.7,229.6,253.5,273.2,285,293.2,300.6
T,2/18/10,207.5,207.7,229.6,253.5,273.1,285,293.3,300.6
W,2/17/10,203.9,204.1,225.6,249.1,268.4,280,288.1,295.3
T,2/16/10,196.8,197,217.7,240.3,258.8,270,277.7,284.5
M,2/15/10,198.7,198.9,219.8,242.6,260.9,271.9,280.4,287.6
,,,,,,,,,
F,2/12/10,198.7,198.9,219.8,242.6,260.9,272,280.4,287.7
T,2/11/10,198.9,199.1,219.9,242.9,259.6,269.8,279.4,287.2
W,2/10/10,200,200.2,222.5,245.8,262.3,272.5,283.7,292.9
T,2/9/10,205.4,205.6,228.5,252.4,269.5,280,291.6,301.2
M,2/8/10,202.2,202.4,224.8,248.4,264.8,275,286.2,295.9
,,,,,,,,,
F,2/5/10,195.8,196,219.2,242.6,259.7,270,280,289.6
T,2/4/10,194.8,194.9,217.9,241.1,258.1,268.3,278.3,287.7
W,2/3/10,188.8,189,211.2,233.7,250.1,260,269.5,278.6
T,2/2/10,193.4,193.6,216.4,239.4,256.2,266.4,276.3,285.6
M,2/1/10,195.5,195.7,218.8,242.3,259.3,269.5,279.4,289.2
,,,,,,,,,
F,1/29/10,192.3,192.5,217.4,238.3,255.3,266,276.8,286.4
T,1/28/10,179.5,179.6,202.8,226.5,247.2,260,273.3,284.8
W,1/27/10,153.1,153.2,178.3,208.7,241.9,260,296.5,323.2
T,1/26/10,152,152.1,177,207.1,240.1,258,294.3,320.6
M,1/25/10,150.3,150.4,175,204.7,237.3,255,290.8,316.9
,,,,,,,,,
F,1/22/10,147.5,147.6,171.6,200.7,232.6,250,285.1,310.6
T,1/21/10,146.8,146.9,170.8,199.7,231.4,248.7,283.5,308.8
W,1/20/10,142.8,142.9,166.1,194.1,224.9,241.6,275.4,299.8
T,1/19/10,143,143,166.2,194.4,225.1,242,275.7,300.1
M,1/18/10,142.8,142.8,167,194.7,225.8,243.3,277.1,301.8
,,,,,,,,,
F,1/15/10,142.3,142.4,166,194.1,225,242.5,276.3,300.8
T,1/14/10,143.8,143.9,167.7,196.1,227.4,245,279.1,303.9
W,1/13/10,143.9,143.9,167.8,196.2,227.4,245.1,279.3,304.2
T,1/12/10,143.9,144,167.8,196.2,227.4,245,279.1,303.9
M,1/11/10,141.1,141.2,164.4,192.2,222.7,240,273.4,297.5
,,,,,,,,,
F,1/8/10,145.5,145.5,169.4,198.1,229.5,247.4,281.9,306.9
T,1/7/10,144.8,144.9,168.7,197.1,228.4,246.2,280.5,305.5
W,1/6/10,147,147.1,171.2,200.1,231.9,250,285,310.6
T,1/5/10,150,150.1,174.7,204.1,236.6,255,290.7,316.8
M,1/4/10,149,149.1,173.4,202.6,234.8,253.1,288.2,314
,,,,,,,,,
F,1/1/10,149.4,149.5,175.3,203.5,235.6,255,289,314.5
T,12/31/09,149.4,149.5,175.2,203.5,235.6,255,289,314.6
W,12/30/09,153.7,153.8,179.9,209.3,243.3,265.2,304.5,335.2
T,12/29/09,155.7,155.8,182.6,212.1,245.5,265.8,301.4,328.2
M,12/28/09,156.6,156.7,183.4,213.4,246.6,265.9,302.8,330.1
,,,,,,,,,
F,12/25/09,157.2,157.3,183.5,214.2,247.6,267.1,304.2,331.6
T,12/24/09,157.2,157.3,183.5,214.2,247.7,267.1,304.2,331.7
W,12/23/09,156.5,156.6,181.3,213.7,247.5,267,304.3,331.1
T,12/22/09,156.7,156.8,182,214.4,247.6,267.1,305.2,332.7
M,12/21/09,156,156.1,181.9,213.6,246.5,265.9,305.2,335.2
,,,,,,,,,
F,12/18/09,142,142,166.8,195.4,225.2,242.5,278.8,307.2
T,12/17/09,138.2,138.2,163,192.7,222.2,238.9,274.7,301.7
W,12/16/09,138.2,138.2,163.1,192.7,222.3,239,274.7,301.9
T,12/15/09,137.3,137.3,162.6,192.4,222.9,240.1,276.7,304
M,12/14/09,127.8,127.8,154.6,184,218.7,240,281.5,310.5
,,,,,,,,,
F,12/11/09,129.3,129.3,156.8,186.5,221.9,243.5,285.9,314.5
T,12/10/09,130.9,130.9,158.4,188.5,224.5,246.5,289.7,319.4
W,12/9/09,130.9,130.9,158,187.4,224.2,246.8,288.4,317.1
T,12/8/09,131.3,131.3,157.3,186.5,222.8,245.1,286.4,315.9
M,12/7/09,129.8,129.8,154.9,184.1,221.1,243.6,283.5,311.8
,,,,,,,,,
F,12/4/09,130.3,130.3,155.5,184.9,222.1,245,283.5,313.8
T,12/3/09,129.4,129.4,154.4,183.6,220.6,243.3,281.6,311.8
W,12/2/09,130.3,130.3,155.4,184.9,222.1,245,283.6,314.1
T,12/1/09,126.7,126.8,151.2,179.8,216,238.2,275.8,305.4
M,11/30/09,133.9,133.9,159.1,187.5,225,248.2,287,317.9
,,,,,,,,,
F,11/27/09,135.8,135.8,161.7,191,229.4,253.1,291.7,325.3
T,11/26/09,129.6,129.6,154.1,181.6,217.7,239.9,274.9,307.3
W,11/25/09,131.1,131.1,150.4,172.4,202.9,221.4,247.4,271.7
T,11/24/09,131.3,131.3,150.6,172.7,203,221.6,248.1,271.8
M,11/23/09,131.1,131.2,151,172.6,202.8,221.4,247.7,271.6
,,,,,,,,,
F,11/20/09,131.4,131.5,151.6,173.1,204.5,223.5,248.2,272.7
T,11/19/09,133.9,133.9,154.4,176.3,208,227.5,252.7,277.4
W,11/18/09,130.4,130.5,150.5,172.1,201.8,220,246.7,270.6
T,11/17/09,130.5,130.5,150.6,172.2,201.8,220,246.7,270.6
M,11/16/09,130.6,130.6,150.6,172.2,201.8,220,246.6,270.5
,,,,,,,,,
F,11/13/09,130.6,130.7,150.7,172.2,201.8,220,246.6,270.5
T,11/12/09,130.7,130.7,150.7,172.3,201.8,220,246.6,270.5
W,11/11/09,130.8,130.8,150.7,172.3,201.8,220,246.6,270.5
T,11/10/09,130.8,130.8,150.8,172.3,201.8,220,246.6,270.5
M,11/9/09,130.8,130.9,150.8,172.3,201.8,220,246.6,270.5
,,,,,,,,,
F,11/6/09,131.9,131.9,151.9,173.6,203.3,221.6,248.4,272.5
T,11/5/09,131,131.1,150.9,172.4,201.8,220,246.7,270.5
W,11/4/09,131.1,131.1,150.9,172.4,201.8,220,246.7,270.6
T,11/3/09,131.1,131.1,150.9,172.3,201.8,220,246.7,270.7
M,11/2/09,128.1,128.2,147.5,168.4,197.2,215,241.1,264.5
,,,,,,,,,
F,10/30/09,130.9,130.9,152.2,173.4,202.2,220,248.2,271.9
T,10/29/09,130.9,130.9,152.2,173.4,202.3,220,248.2,272
W,10/28/09,129.5,129.5,150.6,171.5,200,217.5,245.3,268.8
T,10/27/09,130.1,130.2,151.4,172.4,200.9,218.5,246.4,269.9
M,10/26/09,129.3,129.3,150.4,171.2,199.5,217,244.7,268.1
,,,,,,,,,
F,10/23/09,128.4,128.4,149.2,169.9,198.1,215.4,243,266.3
T,10/22/09,128.2,128.2,148.9,169.6,197.7,215,242.6,265.8
W,10/21/09,126.7,126.8,147.2,167.6,195.4,212.5,239.8,262.8
T,10/20/09,127.2,127.2,147.8,168.2,196,213.2,240.5,263.6
M,10/19/09,128.3,128.3,149,169.6,197.7,215,242.6,265.9
,,,,,,,,,
F,10/16/09,128.4,128.4,149,169.6,197.7,215,242.5,265.8
T,10/15/09,126.8,126.9,147.2,167.6,195.3,212.4,239.6,262.6
W,10/14/09,121,121.1,140.4,159.8,186.2,202.5,228.4,250.3
T,10/13/09,123.3,123.4,143.1,162.8,189.7,206.3,232.8,255.1
M,10/12/09,125.8,125.8,145.9,166,193.4,210.4,237.3,260.1
,,,,,,,,,
F,10/9/09,125.6,125.6,145.7,165.9,193.3,210.4,237.1,260.1
T,10/8/09,124.6,124.7,144.6,164.6,191.8,208.7,235.2,258.1
W,10/7/09,122.6,122.6,142.1,161.7,188.4,205,231,253.3
T,10/6/09,126.3,126.3,146.2,165.9,192.2,208.2,232.2,251.5
M,10/5/09,124.4,124.4,144,163.4,189.3,205,228.8,247.8
,,,,,,,,,
F,10/2/09,124,124,143.4,162.7,188.5,204.2,227.9,246.9
T,10/1/09,123.6,123.6,142.9,162.2,187.9,203.4,227,245.9
W,9/30/09,123.1,123.1,142.3,161.4,187,202.5,226,244.9
T,9/29/09,123.7,123.7,143,162.2,187.9,203.5,227.1,246
M,9/28/09,125.2,125.2,144.7,164.1,190.1,205.8,229.6,248.7
,,,,,,,,,
F,9/25/09,123.8,123.8,143,162.2,187.9,203.4,227,245.8
T,9/24/09,123.4,123.4,142.6,161.7,187.2,202.7,226.1,244.9
W,9/23/09,122.4,122.4,141.3,160.3,185.6,201,224.2,242.8
T,9/22/09,125,125,144.3,163.6,189.3,205,228.6,247.6
M,9/21/09,189.5,189.5,201.9,206.6,206.1,205,198.3,191.5
,,,,,,,,,
F,9/18/09,188.8,188.8,202.6,207.2,206.4,205,197.8,190.8
T,9/17/09,187.7,187.7,201.4,206,205.2,203.8,196.7,189.7
W,9/16/09,188.8,188.8,202.5,207.2,206.4,205,197.8,190.8
T,9/15/09,189.6,189.6,203.4,208,207.2,205.9,198.7,191.6
M,9/14/09,192.4,192.4,206.3,211.1,210.2,208.9,201.5,194.3
,,,,,,,,,
F,9/11/09,190.9,190.9,205.6,209.9,208.8,207.3,200.2,193
T,9/10/09,186.5,186.5,200.9,205,203.9,202.5,195.6,188.5
W,9/9/09,179.2,179.2,193,196.9,196,194.6,188,181.1
T,9/8/09,177.3,177.3,190.9,194.8,193.9,192.5,185.9,179.2
M,9/7/09,188.8,188.8,203.3,207.5,206.4,205,198.1,190.9
,,,,,,,,,
F,9/4/09,178.9,178.9,192.5,196.5,195.5,194.2,187.6,180.7
T,9/3/09,175.7,175.7,189.1,193,192.1,190.7,184.2,177.5
W,9/2/09,179.7,179.7,193.3,197.3,196.4,195,188.4,181.6
T,9/1/09,176.7,176.7,190.2,194.1,193.2,191.8,185.3,178.6
M,8/31/09,169.1,169.1,181.6,184.8,183.8,182.5,174.9,168.5
,,,,,,,,,
F,8/28/09,169.1,169.1,181.6,184.8,183.8,182.5,174.9,168.5
T,8/27/09,171.2,171.2,183.9,187.1,186.1,184.8,177,170.6
W,8/26/09,176,176,189.1,192.3,191.4,190,182.1,175.4
T,8/25/09,178.9,178.9,192.1,195.5,194.5,193.1,185,178.3
M,8/24/09,180.7,180.7,194,197.4,196.4,195,186.9,180.1
,,,,,,,,,
F,8/21/09,180.7,180.7,194,197.4,196.4,195,186.9,180.1
T,8/20/09,183,183,196.5,199.9,198.9,197.5,189.3,182.5
W,8/19/09,178.6,178.6,191.7,195.1,194.1,192.7,184.7,178
T,8/18/09,180.7,180.7,194,197.4,196.4,195,186.9,180.1
M,8/17/09,183.8,183.8,197.2,200.7,199.7,198.3,190.1,183.3
,,,,,,,,,
F,8/14/09,172.6,172.6,185.2,188.4,187.5,186.2,178.5,172.1
T,8/13/09,171.5,171.5,184,187.2,186.3,185,177.4,171
W,8/12/09,173,173.1,185.6,188.9,187.9,186.7,179,172.6
T,8/11/09,176.1,176.1,188.9,192.2,191.3,190,182.2,175.8
M,8/10/09,173.8,173.8,186.4,189.6,188.7,187.5,179.8,173.4
,,,,,,,,,
F,8/7/09,239.9,239.9,257.1,261.6,260.4,258.7,248.4,239.8
T,8/6/09,233.9,233.9,250.8,255.6,254.8,253.8,243.1,234
W,8/5/09,229.6,229.6,246.1,249.9,249.2,248.2,238.4,229.1
T,8/4/09,229.6,229.6,246.1,249.9,249.2,248.2,238.4,229.1
M,8/3/09,231.3,231.3,247.9,251.8,251,250,240.1,230.7
,,,,,,,,,
F,7/31/09,242.8,242.8,260.1,264.2,263.4,262.4,252.1,242.4
T,7/30/09,246.3,246.3,264.5,269.4,268,266.1,257.9,248.2
W,7/29/09,248.6,248.6,270.5,275.7,275.9,275,265.6,253.7
T,7/28/09,237.9,237.9,258.8,263.9,264,263.4,254.2,243.4
M,7/27/09,237.9,237.9,261.4,266.8,266.6,265,256.3,246.5
,,,,,,,,,
F,7/24/09,240.6,240.6,264.2,269.6,269.4,267.9,259.1,249.2
T,7/23/09,245.1,245.1,267.5,272.5,271.4,270,261,251.7
W,7/22/09,258.8,258.8,282.4,287.6,286.4,285,275.5,265.8
T,7/21/09,258.8,258.8,282.4,287.6,286.4,285,275.6,265.9
M,7/20/09,253,253,276,281.1,280.2,278.8,269.7,260.4
,,,,,,,,,
F,7/17/09,259.7,259.7,283.5,288.7,288.2,287,277.3,267.9
T,7/16/09,261.6,261.6,283.6,291,289.7,289.1,279.4,269.7
W,7/15/09,265.3,265.3,286.3,292.9,291.3,290,280.5,270.8
T,7/14/09,270.9,270.9,292.3,298.9,297.4,296.1,286.4,276.4
M,7/13/09,280.3,280.3,302.8,308.6,307.5,306.2,295.4,286.3
,,,,,,,,,
F,7/10/09,278.6,278.6,300.8,306.5,305.8,305.5,295,286.3
T,7/9/09,274.9,274.9,296.1,301.7,300.9,300,290.3,282
W,7/8/09,274.9,274.9,296.1,301.7,300.9,300,290.3,282.1
T,7/7/09,275,275,296,301.7,300.9,300,290.3,282.2
M,7/6/09,296.6,296.6,319.3,325.3,324.4,323.6,313.3,305.1
,,,,,,,,,
F,7/3/09,293.6,293.6,315.9,321.7,320.8,320.1,310.3,303.1
T,7/2/09,290.9,290.9,313.4,318.7,318.4,318.2,308.3,301
W,7/1/09,293,293,316,319.8,320.7,320.9,310.3,301.7
T,6/30/09,297.5,297.5,319.8,323.4,324.1,324.2,313.5,305
M,6/29/09,287.4,287.4,309,312.5,313.2,313.4,303,294.8
,,,,,,,,,
F,6/26/09,294.2,294.2,316.2,319,318.7,318.1,308.8,302.7
T,6/25/09,263.9,263.9,269.2,299.7,314,326.1,362.2,391.4
W,6/24/09,273.1,273.1,275.6,307,321.5,334,370.7,401.3
T,6/23/09,277.1,277.1,279.4,311.9,327.1,340.3,378.1,406.7
M,6/22/09,270.3,270.3,271.8,302.5,318.8,332.5,370.1,397.5
,,,,,,,,,
F,6/19/09,260.7,260.7,261.6,291.3,307.9,321.4,358.6,380.4
T,6/18/09,264.7,264.7,265.1,294.9,311.5,325,362.1,380.8
W,6/17/09,276.5,276.5,276.9,307.9,325.1,339.3,377.8,397.2
T,6/16/09,263.4,263.4,265.8,293,310.9,325,361.2,379.2
M,6/15/09,298.5,298.5,301.1,331.8,351.8,367.6,407.9,427.6
,,,,,,,,,
F,6/12/09,298.2,298.2,301.7,332.7,351.7,367.4,411.4,433.5
T,6/11/09,282.7,282.7,285.9,316,334.4,349.9,387.3,406
W,6/10/09,276.6,276.6,280.6,311,329.3,344.9,381.4,401.6
T,6/9/09,278.2,278.2,281.7,310.5,329.6,345.4,381.5,401.9
M,6/8/09,274.1,274.1,278.6,306.8,326.5,342.4,378.8,401.4
,,,,,,,,,
F,6/5/09,265.6,265.6,270,297.6,316.8,331.1,362.8,384.8
T,6/4/09,272.8,272.8,278,305.2,324.3,340,372.4,394.4
W,6/3/09,273,273,278.1,305.3,324.3,340,372.3,394.2
T,6/2/09,258.9,258.9,263.6,289.5,307.3,322.1,353.2,374.2
M,6/1/09,268,268,273.7,298.5,316,330.4,364.4,383.9
,,,,,,,,,
F,5/29/09,280.8,280.8,286.4,313.8,334.7,350,380.1,396.8
T,5/28/09,280.8,280.8,286.4,313.8,334.7,350,380.1,396.8
W,5/27/09,272.6,272.6,278.1,304.9,325,340.1,369.4,385.2
T,5/26/09,271.3,271.3,278,304.1,324.1,340.1,370.6,385.2
M,5/25/09,268,268,272.3,299.9,319,333.6,363.4,377.9
,,,,,,,,,
F,5/22/09,272.6,272.6,277.1,303.3,323.5,338.5,368.5,383.1
T,5/21/09,275.8,275.8,280.4,305.1,326.2,341.8,371,385.3
W,5/20/09,277.8,277.8,282.4,308.3,326.5,340,370.4,384.7
T,5/19/09,282.3,282.3,287.6,313.8,334.1,350,379.9,394.1
M,5/18/09,278.8,278.8,284.1,310.1,330,345,374.6,388.7
,,,,,,,,,
F,5/15/09,279.5,279.5,285.6,312.4,333.5,350,381.1,395.6
T,5/14/09,279.5,279.5,285.6,312.4,333.5,350,381.1,395.6
W,5/13/09,335.7,335.7,343,374.4,399.5,418.6,455.3,472.1
T,5/12/09,328,328,335.6,366.9,387.8,404.7,444.7,459.6
M,5/11/09,319.2,319.2,328.1,360.6,382.7,399.1,439.6,454.5
,,,,,,,,,
F,5/8/09,246,246,253.7,285.7,308.2,322.6,354.8,366.2
T,5/7/09,256.2,256.2,262.5,292.2,312.6,326.5,360.3,372.8
W,5/6/09,272.5,272.5,278.8,310.4,331.9,346.2,380,391.8
T,5/5/09,283.7,283.7,289.2,323.9,349.9,365.3,399.1,412
M,5/4/09,303.1,303.1,309.3,345,373.6,393.1,430.8,445
,,,,,,,,,
F,5/1/09,310.9,310.9,317,352,378.5,400,438.9,453.3
T,4/30/09,347.8,347.8,354.8,393.5,423,446.6,488.8,504.5
W,4/29/09,364.3,364.3,372.6,410.9,438.6,462.1,507.2,519.6
T,4/28/09,377.4,377.4,386.3,425,460.4,485.5,530.2,546.9
M,4/27/09,379.4,379.4,388.3,428.6,464.1,488.9,533.7,550.7
,,,,,,,,,
F,4/24/09,375.1,375.1,383.9,424.2,457.3,480.7,525.3,541.2
T,4/23/09,383.2,383.2,392,432,466.3,491.4,535.5,552.8
W,4/22/09,390,390,398,435.3,471.8,499.3,542.5,558.7
T,4/21/09,385.9,385.9,392.9,430.9,466.9,496.2,539.7,556.3
M,4/20/09,395.4,395.4,402.4,438.9,475.5,505.9,555.5,572.8
,,,,,,,,,
F,4/17/09,364.2,364.2,370.6,404.6,434,460,502,517.1
T,4/16/09,374.2,374.2,378,410.7,439.5,469,512.1,526.9
W,4/15/09,415.4,415.4,399.1,381.8,369.3,367.5,365.8,364.4
T,4/14/09,420.3,420.3,404.4,388.3,376.5,374.4,372.6,371.2
M,4/13/09,429.2,429.2,416,401,389.7,386.3,383.7,382.3
,,,,,,,,,
F,4/10/09,424.2,424.2,416,403.6,394.9,391.8,389.5,389.2
T,4/9/09,424.2,424.2,416,403.6,394.9,391.8,389.5,389.2
W,4/8/09,418.1,418.1,409.1,411.6,406.9,403.5,413.6,428.4
T,4/7/09,419.4,419.4,410,412.5,410.8,409.8,420.2,433.6
M,4/6/09,409.6,409.6,399.9,404.9,401.7,398.8,412.7,429.3
,,,,,,,,,
F,4/3/09,,421.8,409.5,414,410.3,409.1,422.2,437.4
T,4/2/09,,446,431.5,437.5,433.6,434.1,448.8,464
W,4/1/09,,473.8,456.9,460.6,456.7,457.3,473.2,489.9
T,3/31/09,,482.1,464.8,466.6,463.5,464,479.5,496.5
M,3/30/09,,493.5,476,477.9,474.7,475,484.7,503.7
,,,,,,,,,
F,3/27/09,,505.3,487.4,489.1,485.8,485.9,495.9,515.1
T,3/26/09,,500.8,483.1,481.8,479,480,492.3,511
W,3/25/09,,468.8,452.2,450.5,447.7,448.7,461.1,478.2
T,3/24/09,,464.5,455.1,454.9,455.6,458.1,466.1,482.4
M,3/23/09,,483.3,473.9,475,474.3,476.4,482.4,497.1
,,,,,,,,,
F,3/20/09,,498.1,487.9,488.6,487.5,489.3,493.2,501.2
T,3/19/09,,504.7,494.4,492.9,491,492.5,495.7,502.4
W,3/18/09,,513.9,504,504.7,503.3,505.1,509.5,515.2
T,3/17/09,,508,497.1,499.1,498,500,503.7,511
M,3/16/09,,635.3,621.8,624,622.4,624.9,628.4,635.6
,,,,,,,,,
F,3/13/09,,660.3,646.5,648.9,647.5,650,658.5,666.6
T,3/12/09,,660.3,646.5,648.9,647.5,650,658.5,666.6
W,3/11/09,,660.3,646.5,648.9,647.6,650,658.4,666.5
T,3/10/09,,660.3,646.6,649,647.6,650,658.4,666.5
M,3/9/09,,698.4,683.9,686.4,685,687.5,696.3,704.7
,,,,,,,,,
F,3/6/09,,660.2,646.6,649,647.6,650,658.4,666.5
T,3/5/09,,660.2,646.6,649,647.6,650,658.3,666.4
W,3/4/09,,660.2,646.6,649,647.6,650,658.4,666.4
T,3/3/09,,660.2,646.6,649,647.6,650,658.4,666.4
M,3/2/09,,660.2,646.7,649,647.6,650,658.3,666.3
,,,,,,,,,
F,2/27/09,,654.9,649.1,647.1,647,650.2,660.9,669.8
T,2/26/09,,664.8,656.3,654.5,650.2,650,655.5,662.3
W,2/25/09,,664.8,656.4,654.5,650.2,650,655.6,662.4
T,2/24/09,,664.8,656.4,654.5,650.2,650,655.6,662.4
M,2/23/09,,664.7,656.4,654.5,650.2,650,655.6,662.4
,,,,,,,,,
F,2/20/09,,664.7,656.4,654.5,650.2,650,655.5,662.4
T,2/19/09,,662.4,654.1,652.3,647.9,647.7,653.3,660.1
W,2/18/09,,688.4,679.7,677.8,672.1,671.7,677.3,684.4
T,2/17/09,,685.1,679.6,676.7,674.4,673.4,679.9,688.7
M,2/16/09,,667.7,661.3,659,656.2,655.2,659.2,663.8
,,,,,,,,,
F,2/13/09,,659,653.9,652.1,650.7,650,654,658.7
T,2/12/09,,638.7,633.8,632,630.7,630,633.9,638.5
W,2/11/09,,640.4,635.4,633.6,632.3,631.6,635.6,640.1
T,2/10/09,,646.6,641.6,639.8,638.5,637.8,641.7,646.3
M,2/9/09,,521.4,565.9,582,593.6,600,612,622.2
,,,,,,,,,
F,2/6/09,,565.3,613.2,630.6,643.1,650,662.8,673.7
T,2/5/09,,566.6,613.9,631.1,643.3,650,662.1,672.2
W,2/4/09,,566.6,613.9,631,643.3,650,662.2,672.3
T,2/3/09,,566.6,613.8,631,643.2,650,662.2,672.4
M,2/2/09,,583.4,630.5,647.8,660.1,667.3,679.6,689.8
,,,,,,,,,
F,1/30/09,,568.5,614.6,633.5,644,650,661.2,672.1
T,1/29/09,,568.4,614.6,633.5,644,650,661.2,672.3
W,1/28/09,,568.4,614.5,633.5,643.9,650,661.3,672.4
T,1/27/09,,586.5,633.9,653.4,664.1,670.4,681.9,693.2
M,1/26/09,,590.7,638.3,657.9,668.7,675,686.6,698
,,,,,,,,,
F,1/23/09,,568.7,614.5,633.4,643.9,650,661.3,672.5
T,1/22/09,,575.3,621.5,640.6,651.2,657.4,668.8,680.1
W,1/21/09,,590.8,638.2,657.8,668.7,675,686.7,698.2
T,1/20/09,,568.8,614.4,633.4,643.9,650,661.4,672.7
M,1/19/09,,566.7,612.1,631,641.5,647.6,659,670.3
,,,,,,,,,
F,1/16/09,,569.1,614.6,633.3,644,650,661.4,672.6
T,1/15/09,,569.1,614.6,633.3,644,650,661.3,672.6
W,1/14/09,,569.2,614.6,633.3,644,650,661.3,672.5
T,1/13/09,,569.3,614.6,633.3,644,650,661.3,672.5
M,1/12/09,,564.6,609.5,628,638.7,644.6,655.8,667
,,,,,,,,,
F,1/9/09,,547.4,590.8,608.8,619.2,625,636,646.9
T,1/8/09,,547.5,590.9,608.8,619.2,625,635.9,646.7
W,1/7/09,,536.4,578.8,596.5,606.7,612.3,623.1,633.8
T,1/6/09,,547.7,590.9,608.8,619.2,625,635.9,646.8
M,1/5/09,,547.7,590.9,608.9,619.2,625,635.9,646.8
,,,,,,,,,
F,1/2/09,,523.8,565.1,582.3,592.3,597.9,608.6,619.3
T,1/1/09,,526.3,567.3,585.2,594.4,600,610.5,621.4